id,Country,Population2025,YearlyChange,NetChange,Density,LandArea,MigrantsNet,FertilityRate,MedianAge,UrbanPop,WorldShare,Cluster
69,Romania,18908650.0,-0.56,-106438.0,82.0,230170.0,-29041.0,1.71,43.2,55.2,0.23,0
70,Guatemala,18687881.0,1.53,281522.0,174.0,107160.0,-7959.0,2.26,23.4,56.6,0.23,3
71,Netherlands,18346819.0,0.65,118077.0,544.0,33720.0,104681.0,1.44,41.5,88.9,0.22,0
72,Ecuador,18289896.0,0.85,154418.0,74.0,248360.0,-17219.0,1.79,29.3,66.0,0.22,3
73,Cambodia,17847982.0,1.19,209181.0,101.0,176520.0,-31469.0,2.51,26.2,26.5,0.22,3
74,Zimbabwe,16950795.0,1.9,316422.0,44.0,386850.0,-54555.0,3.62,18.1,37.9,0.21,1
75,Guinea,15099727.0,2.34,344942.0,61.0,245720.0,-16282.0,4.04,18.3,40.3,0.18,1
76,Benin,14814460.0,2.43,351736.0,131.0,112760.0,-7847.0,4.42,18.0,47.8,0.18,1
77,Rwanda,14569341.0,2.19,312774.0,591.0,24670.0,6282.0,3.59,19.9,18.3,0.18,1
78,Burundi,14390003.0,2.44,342217.0,560.0,25680.0,-34727.0,4.67,16.4,14.9,0.17,1
79,Bolivia,12581843.0,1.36,168528.0,12.0,1083300.0,-3179.0,2.5,25.2,70.6,0.15,3
80,Tunisia,12348573.0,0.58,71464.0,79.0,155360.0,-14523.0,1.8,32.9,71.7,0.15,0
81,South Sudan,12188788.0,2.05,245380.0,20.0,610952.0,6145.0,3.71,18.7,27.7,0.15,1
82,Haiti,11906095.0,1.13,133538.0,432.0,27560.0,-32052.0,2.59,24.1,61.7,0.14,3
83,Belgium,11758603.0,0.17,19840.0,388.0,30280.0,31989.0,1.39,41.9,98.8,0.14,0
84,Jordan,11520684.0,-0.28,-32192.0,130.0,88780.0,-303267.0,2.57,24.7,85.1,0.14,0
85,Dominican Republic,11520487.0,0.81,92930.0,238.0,48320.0,-35306.0,2.19,28.3,86.4,0.14,0
86,United Arab Emirates,11346000.0,2.89,318871.0,136.0,83600.0,158634.0,1.21,31.6,81.1,0.14,0
87,Honduras,11005850.0,1.66,180147.0,98.0,111890.0,-4778.0,2.45,24.2,58.3,0.13,3
88,Cuba,10937203.0,-0.39,-42580.0,103.0,106440.0,-22244.0,1.45,42.2,81.9,0.13,0
89,Tajikistan,10786734.0,1.85,195807.0,77.0,139960.0,-21606.0,2.99,22.2,27.7,0.13,1
90,Papua New Guinea,10762817.0,1.76,186315.0,24.0,452860.0,-284.0,3.03,22.8,12.6,0.13,1
91,Sweden,10656633.0,0.47,49634.0,26.0,410340.0,47079.0,1.44,40.3,87.4,0.13,0
92,Czech Republic (Czechia),10609239.0,-1.18,-126620.0,137.0,77240.0,-112188.0,1.47,43.8,75.0,0.13,0
93,Portugal,10411834.0,-0.13,-13458.0,114.0,91590.0,16472.0,1.52,46.9,66.5,0.13,0
94,Azerbaijan,10397713.0,0.59,61136.0,126.0,82658.0,8731.0,1.67,33.6,58.7,0.13,3
95,Greece,9938844.0,-1.08,-108973.0,77.0,128900.0,16636.0,1.34,46.8,89.5,0.12,0
96,Togo,9721608.0,2.17,206372.0,179.0,54390.0,-15010.0,4.07,19.1,44.2,0.12,1
97,Hungary,9632287.0,-0.45,-43848.0,106.0,90530.0,-16331.0,1.5,43.9,72.0,0.12,0
98,Israel,9517181.0,1.39,130160.0,440.0,21640.0,11466.0,2.75,29.2,91.4,0.12,0
99,Austria,9113574.0,-0.08,-7239.0,111.0,82409.0,11254.0,1.33,43.6,58.6,0.11,0
100,Belarus,8997603.0,-0.65,-59093.0,44.0,202910.0,-3020.0,1.23,41.3,84.4,0.11,0
101,Switzerland,8967407.0,0.51,45426.0,227.0,39516.0,37253.0,1.44,42.9,74.4,0.11,0
102,Sierra Leone,8819794.0,2.06,177772.0,122.0,72180.0,-11309.0,3.61,19.7,45.5,0.11,1
103,Laos,7873046.0,1.33,103227.0,34.0,230800.0,-10645.0,2.36,24.9,38.3,0.096,3
104,Turkmenistan,7618847.0,1.66,124349.0,16.0,469930.0,13268.0,2.63,26.9,46.5,0.093,3
105,Libya,7458555.0,1.05,77532.0,4.0,1759540.0,-172.0,2.25,27.7,77.5,0.091,0
106,Hong Kong,7396076.0,-0.25,-18833.0,7044.0,1050.0,17863.0,0.73,47.4,62.05,0.09,0
107,Kyrgyzstan,7295034.0,1.52,109025.0,38.0,191800.0,1815.0,2.75,25.4,35.3,0.089,3
108,Paraguay,7013078.0,1.21,83925.0,18.0,397300.0,-12423.0,2.4,27.0,68.0,0.085,3
109,Nicaragua,7007502.0,1.32,91362.0,58.0,120340.0,-8371.0,2.18,26.0,58.1,0.085,3
110,Bulgaria,6714560.0,-0.64,-43129.0,62.0,108560.0,-2961.0,1.74,44.8,77.1,0.082,0
111,Serbia,6689039.0,-0.7,-47177.0,76.0,87460.0,-13086.0,1.5,44.4,73.6,0.081,0
112,Congo,6484437.0,2.39,151476.0,19.0,341500.0,-2999.0,4.05,18.6,69.8,0.079,1
113,El Salvador,6365503.0,0.43,27310.0,307.0,20720.0,-23934.0,1.75,27.9,79.9,0.077,0
114,Denmark,6002507.0,0.42,25095.0,141.0,42430.0,22103.0,1.52,41.3,87.4,0.073,0
115,Singapore,5870750.0,0.66,38363.0,8387.0,700.0,16892.0,0.96,36.2,62.05,0.071,0
116,Lebanon,5849421.0,0.75,43459.0,572.0,10230.0,-10230.0,2.21,28.8,86.0,0.071,0
117,Liberia,5731206.0,2.11,118389.0,60.0,96320.0,-9870.0,3.79,18.8,55.0,0.07,1
118,Finland,5623329.0,0.11,6019.0,19.0,303890.0,18246.0,1.3,43.2,86.7,0.068,0
119,Norway,5623071.0,0.83,46411.0,15.0,365268.0,29798.0,1.42,39.8,85.9,0.068,0
120,State of Palestine,5589623.0,1.71,94180.0,929.0,6020.0,-23156.0,3.19,20.1,84.2,0.068,1
121,Central African Republic,5513282.0,3.43,182592.0,9.0,622980.0,-14693.0,5.81,14.5,44.5,0.067,1
122,Oman,5494691.0,4.04,213153.0,18.0,309500.0,113734.0,2.48,29.7,90.8,0.067,0
123,Slovakia,5474881.0,-0.58,-31879.0,114.0,48088.0,-31377.0,1.57,42.3,54.0,0.067,0
124,Mauritania,5315065.0,2.82,145670.0,5.0,1030700.0,-5044.0,4.56,17.4,60.3,0.065,1
125,Ireland,5308039.0,1.01,53022.0,77.0,68890.0,35417.0,1.6,39.0,62.1,0.064,0
126,New Zealand,5251899.0,0.73,37955.0,20.0,263310.0,17403.0,1.65,37.7,83.6,0.064,0
127,Costa Rica,5152950.0,0.45,23040.0,101.0,51060.0,1000.0,1.31,35.2,85.2,0.063,0
128,Kuwait,5026078.0,1.86,91571.0,282.0,17820.0,42775.0,1.5,34.8,91.6,0.061,0
129,Panama,4571189.0,1.23,55612.0,61.0,74340.0,6151.0,2.09,30.3,70.7,0.056,0
130,Croatia,3848160.0,-0.7,-27165.0,69.0,55960.0,-3481.0,1.47,45.3,61.7,0.047,0
131,Georgia,3806671.0,-0.03,-999.0,55.0,69490.0,1283.0,1.79,37.3,62.0,0.046,0
132,Eritrea,3607003.0,2.02,71400.0,36.0,101000.0,-6698.0,3.61,19.2,74.8,0.044,1
133,Mongolia,3517100.0,1.2,41560.0,2.0,1553560.0,79.0,2.58,26.9,67.2,0.043,3
134,Uruguay,3384688.0,-0.06,-1900.0,19.0,175020.0,-1338.0,1.39,36.4,62.05,0.041,0
135,Puerto Rico,3235289.0,-0.21,-6915.0,365.0,8870.0,5495.0,0.94,45.8,62.05,0.039,0
136,Bosnia and Herzegovina,3140095.0,-0.76,-24158.0,62.0,51000.0,-6994.0,1.5,45.7,56.3,0.038,0
137,Qatar,3115889.0,2.21,67466.0,268.0,11610.0,36288.0,1.7,33.5,96.6,0.038,0
138,Namibia,3092816.0,2.07,62685.0,4.0,823290.0,1866.0,3.17,21.3,54.4,0.038,1
139,Moldova,2996106.0,-1.28,-38855.0,91.0,32850.0,-29766.0,1.72,38.6,57.7,0.036,0
140,Armenia,2952365.0,-0.72,-21475.0,104.0,28470.0,-29013.0,1.71,36.6,63.8,0.036,0
141,Jamaica,2837077.0,-0.07,-2098.0,262.0,10830.0,-11053.0,1.34,32.8,60.2,0.034,0
142,Lithuania,2830144.0,-1.01,-28966.0,45.0,62674.0,-24618.0,1.22,42.3,68.2,0.034,0
143,Gambia,2822093.0,2.25,62105.0,279.0,10120.0,-2984.0,3.8,18.6,61.3,0.034,1
144,Albania,2771508.0,-0.73,-20257.0,101.0,27400.0,-24230.0,1.33,37.3,70.3,0.034,0
145,Gabon,2593130.0,2.13,54178.0,10.0,257670.0,1116.0,3.54,21.5,83.7,0.032,1
146,Botswana,2562122.0,1.63,40983.0,5.0,566730.0,-5665.0,2.66,23.4,75.6,0.031,3
147,Lesotho,2363325.0,1.11,25902.0,78.0,30360.0,-5192.0,2.64,21.8,32.8,0.029,3
148,Guinea-Bissau,2249515.0,2.19,48163.0,80.0,28120.0,-1373.0,3.68,19.4,46.2,0.027,1
149,Slovenia,2117072.0,-0.08,-1625.0,105.0,20140.0,2711.0,1.58,44.6,55.7,0.026,0
150,Equatorial Guinea,1938431.0,2.43,45915.0,69.0,28050.0,3812.0,4.04,20.9,63.6,0.024,1
151,Latvia,1853559.0,-0.98,-18312.0,30.0,62200.0,-7330.0,1.35,43.6,67.5,0.023,0
152,North Macedonia,1813791.0,-0.51,-9218.0,72.0,25220.0,-5645.0,1.47,41.0,69.4,0.022,0
153,Bahrain,1643332.0,2.26,36283.0,2162.0,760.0,18128.0,1.78,33.4,62.05,0.02,0
154,Trinidad and Tobago,1511155.0,0.22,3373.0,295.0,5130.0,691.0,1.52,37.7,49.1,0.018,3
155,Timor-Leste,1418517.0,1.28,17879.0,95.0,14870.0,-2550.0,2.56,21.7,36.0,0.017,3
156,Cyprus,1370754.0,0.92,12472.0,148.0,9240.0,7749.0,1.37,38.6,61.1,0.017,0
157,Estonia,1344232.0,-1.2,-16314.0,32.0,42390.0,-13350.0,1.38,42.8,66.9,0.016,0
158,Mauritius,1268280.0,-0.23,-2889.0,625.0,2030.0,-2784.0,1.21,37.8,41.5,0.015,3
159,Eswatini,1256174.0,1.07,13352.0,73.0,17200.0,-5775.0,2.68,22.5,31.3,0.015,3
160,Djibouti,1184076.0,1.31,15354.0,51.0,23180.0,-581.0,2.58,24.9,71.3,0.014,3
161,Fiji,933154.0,0.47,4370.0,51.0,18270.0,-3288.0,2.25,28.1,60.8,0.011,3
162,Comoros,882847.0,1.87,16219.0,474.0,1861.0,-2127.0,3.76,20.6,33.6,0.011,1
163,Réunion,882405.0,0.43,3814.0,353.0,2500.0,-2585.0,2.13,38.1,62.05,0.011,0
164,Solomon Islands,838645.0,2.37,19447.0,30.0,27990.0,1631.0,3.46,20.7,22.8,0.01,1
165,Guyana,835986.0,0.59,4899.0,4.0,196850.0,-5092.0,2.37,26.2,26.6,0.01,3
166,Bhutan,796682.0,0.65,5158.0,21.0,38117.0,455.0,1.44,30.5,50.3,0.0097,3
167,Macao,722007.0,0.24,1745.0,24067.0,30.0,-328.0,0.69,39.6,97.1,0.0088,2
168,Luxembourg,680453.0,1.1,7417.0,263.0,2590.0,5237.0,1.4,39.5,87.2,0.0083,0
169,Suriname,639850.0,0.85,5419.0,4.0,156000.0,-967.0,2.21,28.6,62.4,0.0078,3
170,Montenegro,632729.0,-0.9,-5750.0,47.0,13450.0,-9279.0,1.79,40.0,68.7,0.0077,0
171,Western Sahara,600904.0,1.76,10398.0,2.0,266000.0,5030.0,2.15,32.6,97.0,0.0073,0
172,Malta,545405.0,1.07,5798.0,1704.0,320.0,5161.0,1.11,41.1,76.5,0.0066,0
173,Maldives,529676.0,0.36,1877.0,1766.0,300.0,-2283.0,1.55,32.7,39.6,0.0064,3
174,Cabo Verde,527326.0,0.47,2449.0,131.0,4030.0,-1284.0,1.5,29.0,78.6,0.0064,0
175,Brunei,466330.0,0.78,3609.0,88.0,5270.0,0.0,1.71,32.7,80.1,0.0057,0
176,Belize,422924.0,1.4,5852.0,19.0,22810.0,360.0,2.01,26.9,48.6,0.0051,3
177,Bahamas,403033.0,0.44,1750.0,40.0,10010.0,935.0,1.36,35.3,88.4,0.0049,0
178,Iceland,398266.0,1.24,4870.0,4.0,100250.0,2709.0,1.5,36.2,84.0,0.0048,0
179,Guadeloupe,373791.0,-0.35,-1315.0,221.0,1690.0,-1587.0,2.05,47.2,62.05,0.0045,0
180,Martinique,340439.0,-0.8,-2756.0,321.0,1060.0,-2491.0,1.97,49.7,62.05,0.0041,0
181,Mayotte,337011.0,3.22,10506.0,899.0,375.0,44.0,4.5,17.1,41.4,0.0041,1
182,Vanuatu,335169.0,2.26,7392.0,27.0,12190.0,-52.0,3.53,20.3,25.4,0.0041,1
183,French Guiana,313666.0,1.67,5144.0,4.0,82200.0,-909.0,3.29,25.0,94.5,0.0038,0
184,New Caledonia,295333.0,0.92,2694.0,16.0,18280.0,440.0,1.95,34.5,75.7,0.0036,0
185,Barbados,282623.0,0.06,156.0,657.0,430.0,-87.0,1.71,39.4,32.5,0.0034,3
186,French Polynesia,282465.0,0.23,658.0,77.0,3660.0,-1199.0,1.48,36.1,65.9,0.0034,0
187,Sao Tome & Principe,240254.0,2.0,4718.0,250.0,960.0,-650.0,3.53,19.5,78.2,0.0029,1
188,Samoa,219306.0,0.59,1287.0,77.0,2830.0,-2815.0,3.75,19.8,16.3,0.0027,1
189,Curaçao,185487.0,0.0,5.0,418.0,444.0,470.0,1.07,38.7,80.8,0.0023,0
190,Saint Lucia,180149.0,0.23,405.0,295.0,610.0,-23.0,1.38,34.6,19.9,0.0022,3
191,Guam,168999.0,0.73,1222.0,313.0,540.0,-493.0,2.71,31.5,98.8,0.0021,0
192,Kiribati,136488.0,1.46,1970.0,169.0,810.0,-462.0,3.09,22.9,57.3,0.0017,1
193,Seychelles,132779.0,1.81,2361.0,289.0,460.0,1590.0,2.08,34.3,43.8,0.0016,3
194,Grenada,117303.0,0.08,96.0,345.0,340.0,-185.0,1.46,34.4,35.5,0.0014,3
195,Micronesia,113683.0,0.46,523.0,162.0,700.0,-1125.0,2.71,23.3,23.5,0.0014,3
196,Aruba,108147.0,0.07,81.0,601.0,180.0,111.0,1.6,41.5,44.7,0.0013,3
197,Tonga,103742.0,-0.42,-433.0,144.0,720.0,-2150.0,3.07,20.8,26.0,0.0013,1
198,St. Vincent & Grenadines,99924.0,-0.69,-692.0,256.0,390.0,-714.0,1.75,34.4,61.6,0.0012,0
199,Antigua and Barbuda,94209.0,0.47,437.0,214.0,440.0,12.0,1.58,36.3,28.5,0.0011,3
200,U.S. Virgin Islands,84138.0,-0.9,-767.0,240.0,350.0,-357.0,2.07,44.8,62.05,0.001,0
201,Isle of Man,84118.0,-0.05,-42.0,148.0,570.0,166.0,1.53,46.1,56.7,0.001,0
202,Andorra,82904.0,1.18,966.0,176.0,470.0,843.0,1.1,43.9,82.3,0.001,0
203,Cayman Islands,75844.0,1.86,1387.0,316.0,240.0,888.0,1.51,38.7,89.1,0.00092,0
204,Dominica,65871.0,-0.5,-334.0,88.0,750.0,-242.0,1.47,36.3,84.5,0.0008,0
205,Bermuda,64555.0,-0.13,-81.0,1291.0,50.0,-2.0,1.41,46.0,93.0,0.00078,0
206,Faeroe Islands,56002.0,1.09,602.0,40.0,1396.0,386.0,2.2,37.1,39.5,0.00068,3
207,Greenland,55745.0,-0.17,-95.0,0.0,410450.0,-265.0,1.91,35.1,90.7,0.00068,0
208,Saint Kitts & Nevis,46922.0,0.17,79.0,180.0,260.0,18.0,1.51,36.2,39.4,0.00057,3
209,Turks and Caicos,46855.0,0.69,320.0,49.0,950.0,177.0,1.44,39.2,79.4,0.00057,0
210,American Samoa,46029.0,-1.57,-736.0,230.0,200.0,-1051.0,2.25,29.0,62.05,0.00056,3
211,Sint Maarten,43923.0,1.32,573.0,1292.0,34.0,530.0,1.43,41.8,99.8,0.00053,0
212,Northern Mariana Islands,43541.0,-1.66,-737.0,95.0,460.0,-963.0,2.28,38.0,62.05,0.00053,0
213,Liechtenstein,40128.0,0.65,258.0,251.0,160.0,194.0,1.54,44.5,14.7,0.00049,3
214,Gibraltar,40126.0,2.03,797.0,4013.0,10.0,549.0,1.88,38.8,88.5,0.00049,0
215,British Virgin Islands,39732.0,0.66,261.0,265.0,150.0,153.0,1.06,38.6,43.4,0.00048,3
216,Monaco,38341.0,-0.75,-290.0,25732.0,1.0,100.0,2.09,53.6,62.05,0.00047,2
217,Marshall Islands,36282.0,-3.37,-1266.0,202.0,180.0,-1698.0,2.82,20.4,62.05,0.00044,1
218,San Marino,33572.0,-0.03,-9.0,560.0,60.0,122.0,1.16,48.6,62.05,0.00041,0
219,Caribbean Netherlands,31338.0,2.16,663.0,96.0,328.0,600.0,1.45,39.6,65.6,0.00038,0
